"ds_codigo","ds_nome","topography","topography_color","venues","venues_color","railway","railway_color","bus","bus_color","taxi","taxi_color","parking","parking_color","final_score","final_score_color"
59,"PENHA",0.691611179079934,"#EBFF00",0.777777777778,"#A9FF00",0.197507699902949,"#FF6100",0.491620111731844,"#FFCF00",0.234368950704347,"#FF7400",0.755353684738,"#BBFF00",0.524706567322512,"#FFD800"
60,"PERDIZES",0.557799738172813,"#FFE100",0.51768183627,"#FFD600",0.176409366257257,"#FF5700",0.326815642458101,"#FFA100",0.445547457373569,"#FFC300",0.755312824938,"#BBFF00",0.463261144244957,"#FFC800"
61,"PERUS",0.139421211528354,"#FF4500",1,"#00FF00",0.0532816716394605,"#FF1A00",0.0474860335195531,"#FF1700",0,"#FF0000",0,"#FF0000",0.206698152781228,"#FF6600"
62,"PINHEIROS",0.873265146325525,"#60FF00",0.670539292812,"#FCFF00",0.487150599980308,"#FFCE00",0.592178770949721,"#FFEA00",0.500961854007129,"#FFD200",0.916266090406,"#40FF00",0.67339362574678,"#F9FF00"
63,"PIRITUBA",0.378313513514117,"#FFB100",1,"#00FF00",0.197735617112497,"#FF6100",0.315642458100559,"#FF9C00",0.0637692338787307,"#FF1F00",0,"#FF0000",0.325910137100984,"#FFA100"
64,"PONTE RASA",0.683767704615256,"#F1FF00",0.396825396826,"#FFB600",2.12638244007946e-05,"#FF0000",0.379888268156425,"#FFB100",0.180635722244836,"#FF5900",0,"#FF0000",0.27352305927782,"#FF8700"
65,"RAPOSO TAVARES",0.461902599599704,"#FFC700",0.955555555556,"#21FF00",0,"#FF0000",0.108938547486034,"#FF3500",0,"#FF0000",0,"#FF0000",0.25439945044029,"#FF7D00"
66,"REPUBLICA",0.867802889733921,"#65FF00",0.706450299998,"#E0FF00",0.870726360583664,"#62FF00",0.784916201117318,"#A4FF00",0.601100818686326,"#FFED00",1,"#00FF00",0.805166095019872,"#95FF00"
67,"RIO PEQUENO",0.540333129124345,"#FFDC00",0.580952380952,"#FFE700",7.07350635158163e-12,"#FF0000",0.111731843575419,"#FF3700",0.198243237440435,"#FF6200",0,"#FF0000",0.238543431849879,"#FF7600"
68,"SACOMA",0.648893001722968,"#FFFA00",1,"#00FF00",0.0117110587994202,"#FF0500",0.125698324022346,"#FF3E00",0.316340594412815,"#FF9C00",0,"#FF0000",0.350440496492925,"#FFA900"
69,"SANTA CECILIA",0.925940764822325,"#38FF00",0.569241393528,"#FFE400",0.432343777483414,"#FFBF00",0.455307262569832,"#FFC500",0.59419331599644,"#FFEB00",0.871509144256,"#62FF00",0.641422609776002,"#FFF800"
70,"SANTANA",0.767610753196553,"#B1FF00",0.690886914504,"#ECFF00",0.311703887496585,"#FF9A00",0.522346368715084,"#FFD800",0.404102485644972,"#FFB800",0.761625941912,"#B6FF00",0.576379391911532,"#FFE600"
71,"SANTO AMARO",0.860124528909255,"#6BFF00",0.835814196594,"#7DFF00",0.27638107566058,"#FF8800",1,"#00FF00",0.308888418016901,"#FF9800",0.635891329871,"#FFF600",0.652849924841956,"#FFFB00"
72,"SAO LUCAS",0.666047858330394,"#FFFE00",0.619047619048,"#FFF200",0.0737479941356706,"#FF2400",0.217877094972067,"#FF6B00",0.0522013927248387,"#FF1900",0,"#FF0000",0.271486993201828,"#FF8600"
73,"SAO MATEUS",0.620158207829528,"#FFF200",0.733333333334,"#CBFF00",0,"#FF0000",0.371508379888268,"#FFAF00",0.110956090471905,"#FF3600",0,"#FF0000",0.305992668587284,"#FF9700"
